id,media_id,bidder,amount_raw,amount_eth,currency,timestamp,tx_hash
7883-0xc8b6af7c054b4d573f2a5fa08df94ae0b21eed00,7883,0xc8b6af7c054b4d573f2a5fa08df94ae0b21eed00,500000000000000000,0.5,WETH,2022-02-12 22:00:24,0xe12ba5865f661a9f6ae607beb793043cd4dcd126a953af0e9595c75159954cf0
4-0x9303ea8ddaf762a3a1f9a8c82c4f16fb70733ac3,4,0x9303ea8ddaf762a3a1f9a8c82c4f16fb70733ac3,1000000000000000000,1.0,FWB,2022-02-11 01:14:46,0xc84c521e79e0dd89abd7d856ba3fc82745751a4011ec347d9b32b7e2f2e10867
7755-0xad9039b7ac9bf08b9b2c3afdd6cdec3f26fc9a45,7755,0xad9039b7ac9bf08b9b2c3afdd6cdec3f26fc9a45,150000000000000000,0.15,WETH,2022-02-10 04:04:10,0x1266f808814bf56bfd60e21105d8640c5e71aa18ed2a6832a38266f210899d88
335-0x11f46fff2624737aa0d38507e761b6ef770eb94d,335,0x11f46fff2624737aa0d38507e761b6ef770eb94d,10000000000000000,0.01,WETH,2022-02-09 00:41:42,0xa5f5c986ed3f9216cd4e71ba17351f6c0ac3a0a626ac47b36594bbd593a7b406
7406-0x97173305663e812531784662babcc24c79bf1b94,7406,0x97173305663e812531784662babcc24c79bf1b94,23510000,23.51,USDC,2022-02-06 07:59:01,0x1fda0605962abedb2e42b4118e6041e87a096a4d214a2089719d0512cc81712e
6558-0xca9ba6a0974ba3a09c8fee76dfdd87ba1d6a2801,6558,0xca9ba6a0974ba3a09c8fee76dfdd87ba1d6a2801,70000000000000000,0.07,WETH,2022-02-06 04:53:18,0xf9ba70572329b1ecb7fc6a736e20ba3e29d2a67a8095d60be540318d72d9d0ac
1961-0xe2d4be1375ca37143fedd47e168cb2d4b3a8dadd,1961,0xe2d4be1375ca37143fedd47e168cb2d4b3a8dadd,200000000000000000,0.2,WETH,2022-02-03 03:25:17,0xf542ae8367eb44354449e234b07ab0ac53ee322f4d72dfcfe12610b7867b2d7a
7630-0x3e24c27f8fdcfc1f3e7e8683d9df0691ace251c6,7630,0x3e24c27f8fdcfc1f3e7e8683d9df0691ace251c6,200000000000000000,0.2,WETH,2022-01-25 19:56:55,0xed704dbb84a0cbc133984380b6f467d319f928e1334bea294aaca46b9a9cd187
7577-0xf9107317b0ff77ed5b7adea15e50514a3564002b,7577,0xf9107317b0ff77ed5b7adea15e50514a3564002b,1000000000000000000,1.0,WETH,2022-01-23 21:01:27,0x6c38b937acbaf92b87ffb8dab2b6bbd3bb388cfa9649bf02fea8581e1316d04f
3953-0x278f1df6672e538b6e819dac7c1c86857602674b,3953,0x278f1df6672e538b6e819dac7c1c86857602674b,100000000000000000000,100.0,BANK,2022-01-21 06:17:18,0x5302362e334a20f6b614a0957d1cc3279c1a2f56dd1a9cc3a113b72e6be6f482
7471-0x74667801993b457b8ccf19d03bbbaa52b7fff43b,7471,0x74667801993b457b8ccf19d03bbbaa52b7fff43b,100000000000000000,0.1,WETH,2022-01-19 06:06:43,0x920d5a47333b1a2f30d062c327f86e03aa62d528b80f06c2be69805c8ae75bde
7422-0xa9da2e4b36d75d3aee8630c6acd09fd567091f10,7422,0xa9da2e4b36d75d3aee8630c6acd09fd567091f10,100000000000000000,0.1,WETH,2022-01-13 18:41:53,0x9cf1a73ca94a6d3660d44572bbfd066eb495fa914c028a5c79984259b8ff7033
6646-0x5da7351a4cb03c33e11f51841bc614d985812821,6646,0x5da7351a4cb03c33e11f51841bc614d985812821,3000000000000000000,3.0,WETH,2022-01-13 16:17:46,0xc21f26b16e22e75241333669f48c38a8230357bfff64b9cd43a882128b80379a
